,player_name,shot_outcome_name,gk_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
36,Paul Pogba,Goal,Kasper Schmeichel,173,178.140625,135.15625,172.1430664,183.8125,135.0595703,221.65625,157.2758789,254.09375,201.0327148,189.21875,243.269043,200.03125,146.1254883,259.5,87.5859375,264.90625,87.67041016,64.875,127.7949219,59.46875,219.6166992,102.71875,198.6674805,221.65625,81.58837891,297.34375,93.58349609,313.5625,142.4931641,32.4375,224.6005859
37,Paul Pogba,Saved,Angus Gunn,163.25,327.8320313,75.75,270.2148438,113.25,189.5507813,163.25,184.0820313,238.25,279.0039063,313.25,361.4257813,138.25,183.6914063,144.5,102.5390625,144.5,108.7890625,150.75,52.63671875,25.75,169.4335938,50.75,126.0742188,113.25,108.3007813,169.5,96.6796875,213.25,122.3632813,207,134.765625
38,Paul Pogba,Saved,Jordan Pickford,324,456.6875,202.5,353.5390625,243,273.171875,293.625,213.2128906,405,316.203125,526.5,419.3515625,263.25,232.9882813,182.25,211.4726563,182.25,211.4726563,222.75,313.3554688,232.875,262.8886719,172.125,312.5644531,141.75,210.8398438,212.625,171.4472656,243,151.671875,222.75,252.6054688
39,Gylfi Þór Sigurðsson,Goal,David de Gea Quintana,137.03125,155.8286133,26.125,102.9082031,71.625,92.24414063,88.6875,89.66699219,105.75,126.9023438,139.875,155.8730469,77.3125,89.48925781,43.1875,49.14355469,37.5,46.2109375,17.59375,40.21240234,40.34375,103.1303711,57.40625,92.02197266,34.65625,63.22900391,60.25,46.56640625,80.15625,78.15869141,83,100.953125
40,Sergio Leonel Agüero del Castillo,Goal,Karl Darlow,69.53125,220.7895508,99.78125,191.012207,84.65625,122.7133789,80.875,145.3417969,88.4375,190.8349609,80.875,236.0917969,77.09375,126.3764648,84.65625,77.33837891,96,66.171875,141.375,17.72460938,122.46875,108.1791992,114.90625,89.15478516,103.5625,58.72753906,84.65625,77.33837891,84.65625,103.8071289,92.21875,111.487793
41,Daniel William John Ings,Goal,Mathew Ryan,39.09375,276.8452148,48.28125,194.3012695,66.65625,139.4633789,117.1875,135.6591797,149.34375,191.2866211,172.3125,251.3642578,89.625,139.8222656,94.21875,66.39404297,94.21875,70.98779297,98.8125,20.52832031,34.5,161.9296875,39.09375,120.6577148,57.46875,70.41357422,130.96875,62.37451172,153.9375,108.6708984,176.90625,159.5610352
42,Glenn Murray,Goal,Alex McCarthy,24.3125,145.7548828,59.25,84.48828125,80.75,79.44921875,96.875,79.70117188,99.5625,98.55566406,104.9375,128.2021484,83.4375,76.80371094,91.5,50.0546875,94.1875,44.72167969,107.625,20.74414063,64.625,95.32226563,61.9375,57.65527344,70,60.46875,99.5625,52.86816406,99.5625,79.74316406,94.1875,85.03417969
43,Eden Hazard,Goal,Jonas Lössl,28.25,198.1914063,95.34375,160.3959961,116.53125,111.2895508,137.71875,122.2143555,148.3125,154.1611328,155.375,182.5214844,127.125,114.9863281,123.59375,69.02490234,123.59375,61.96240234,120.0625,23.06347656,116.53125,65.38330078,88.28125,68.47314453,105.9375,65.21777344,137.71875,65.71435547,84.75,71.94921875,84.75,71.94921875
44,Leighton Baines,Goal,Heurelho da Silva Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Tom Cleverley,Off T,Jordan Pickford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Joshua King,Goal,Orestis Karnezis,13.875,101.7480469,26.8125,84.70019531,41.90625,65.52978516,54.84375,74.35693359,37.59375,99.96240234,24.65625,114.8540039,48.375,69.94335938,54.84375,39.85693359,54.84375,37.70068359,50.53125,13.91455078,22.5,52.2890625,33.28125,37.36376953,39.75,37.46484375,69.9375,44.40527344,91.5,53.3671875,97.96875,64.24951172
47,Mohamed Salah,Goal,Martin Dúbravka,47.46875,311.0229492,52.8125,214.9189453,106.25,151.6289063,159.6875,147.1201172,202.4375,243.9755859,239.84375,271.2788086,132.96875,146.7026367,84.875,71.13867188,79.53125,60.36767578,68.84375,1.419433594,20.75,171.6679688,31.4375,134.4287109,36.78125,75.73095703,122.28125,66.37939453,191.75,131.5898438,213.125,190.7050781
48,Glenn Murray,Goal,Wayne Hennessey,38.0625,137.0634766,32.5,98.0390625,85.34375,90.52099609,79.78125,90.43408203,93.6875,121.2451172,124.28125,146.7543945,79.78125,90.43408203,43.625,92.65039063,40.84375,95.38818359,18.59375,103.3842773,88.125,82.22070313,57.53125,90.08642578,32.5,95.2578125,40.84375,92.60693359,49.1875,84.39355469,90.90625,87.82666016
49,Luka Milivojević,Goal,Mathew Ryan,79.6875,132.0888672,82.25,111.6289063,69.4375,90.92871094,82.25,91.12890625,87.375,109.1464844,118.125,132.6894531,77.125,88.48632813,61.75,47.24609375,59.1875,42.08105469,41.25,23.86328125,51.5,85.5234375,51.5,65.0234375,51.5,49.6484375,74.5625,47.44628906,92.5,75.9140625,92.5,81.0390625
50,Charlie Adam,Saved,Mathew Ryan,36.125,126.2832031,31,87.765625,69.4375,78.11621094,79.6875,73.15136719,84.8125,114.2314453,123.25,140.4570313,77.125,75.67382813,43.8125,49.52832031,38.6875,44.32324219,18.1875,36.31542969,41.25,90.48828125,48.9375,72.67089844,38.6875,54.57324219,48.9375,49.60839844,66.875,70.38867188,69.4375,96.05371094
51,Harry Kane,Goal,Jonas Lössl,139.4375,419.8974609,80.9375,287.3583984,95.5625,243.7119141,161.375,244.7402344,234.5,319.0078125,293,414.984375,124.8125,244.1689453,139.4375,112.7724609,139.4375,98.14746094,146.75,17.82421875,139.4375,185.8974609,95.5625,177.8994141,88.25,111.9726563,190.625,113.5722656,205.25,201.5507813,241.8125,282.5595703
52,Rajiv van La Parra,Goal,Asmir Begović,59.1875,173.4404297,82.375,130.7402344,49.25,93.78515625,59.1875,90.62792969,98.9375,134.3115234,89,167.28125,55.875,93.88867188,98.9375,54.81152344,102.25,51.55078125,125.4375,22.10058594,145.3125,101.9111328,118.8125,71.68457031,85.6875,51.29199219,112.1875,55.01855469,118.8125,74.99707031,135.375,98.44335938
53,Sergio Leonel Agüero del Castillo,Goal,Petr Čech,111.375,141.0527344,87.75,103.9335938,66.75,79.98046875,51,111.234375,53.625,95.52539063,53.625,142.7753906,56.25,87.69140625,45.75,42.90234375,48.375,32.44335938,87.75,17.30859375,14.25,92.28515625,24.75,63.57421875,30,42.65625,79.875,51.31054688,85.125,51.39257813,100.875,67.38867188
54,James Philip Milner,Goal,Neil Leonard Dula Etheridge,91.71875,215.1049805,47.375,137.8183594,95.75,146.6367188,136.0625,151.2978516,176.375,180.1464844,216.6875,221.0888672,119.9375,151.0458984,95.75,70.04296875,91.71875,69.97998047,99.78125,33.82470703,23.1875,125.3466797,39.3125,97.37988281,59.46875,73.50732422,128,70.546875,148.15625,82.95556641,123.96875,62.42138672
55,James Ward-Prowse,Goal,Kasper Schmeichel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,André Ayew Pelé,Saved,Rob Elliot,84.21875,187.112793,88,164.484375,91.78125,126.730957,80.4375,126.5537109,69.09375,160.4077148,31.28125,197.6293945,88,126.671875,99.34375,77.69287109,103.125,73.97070313,122.03125,47.79736328,84.21875,107.706543,99.34375,100.3803711,106.90625,77.81103516,88,77.515625,72.875,96.18554688,72.875,111.3105469
57,Luka Milivojević,Goal,Bernd Leno,67.75,100.2304688,81.25,93.69140625,79,64.40625,83.5,62.2265625,61,88.875,52,111.234375,83.5,64.4765625,70,41.765625,67.75,37.23046875,49.75,34.69921875,56.5,68.5546875,61,57.375,63.25,41.66015625,74.5,39.5859375,79,37.40625,56.5,37.0546875
