,under_pressure,shot_outcome_name,distance_to_goal,shot_angle,gk_name,gk_engage
531,0,Saved,7,0,Bernd Leno,0.428571429
532,0,Off T,13.89244399,59.74356284,Alisson Ramsés Becker,0.741095674
533,0,Goal,6.32455532,18.43494882,Rui Pedro dos Santos Patrício,0.790569415
534,0,Goal,9.848857802,23.96248897,Jordan Pickford,0.818598249
535,1,Wayward,19.10497317,42.8789036,Jordan Pickford,0.827605889
536,1,Saved,21.09502311,58.57043439,Mathew Ryan,0.920429797
537,0,Goal,11.3137085,45,Mathew Ryan,1
538,0,Saved,14.31782106,12.09475708,Mathew Ryan,0.849677127
539,0,Off T,21.9544984,30.06858282,Bernd Leno,0.490575071
540,0,Goal,13.45362405,41.9872125,Bernd Leno,0.316227766
541,0,Goal,9.848857802,23.96248897,Jordan Pickford,0.617610961
542,0,Saved,16.15549442,68.19859051,Jordan Pickford,0.724502736
543,0,Saved,8.062257748,7.125016349,Jordan Pickford,0.372104204
544,0,Saved,21.84032967,74.0546041,Łukasz Fabiański,0.94392019
545,0,Saved,12.04159458,48.36646066,Bernd Leno,0.88278556
