,goalkeepers,url,pen_taker,outcome,off_target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
33,Ederson,/en/matches/bf9c0d50/Manchester-Derby-Manchester-City-Manchester-United-December-7-2019-Premier-League,Marcus Rashford,Scored,,96.40625,171.10009765625,68.15625,135.34619140625,82.28125,114.37939453125,114.0625,111.3447265625,138.78125,150.57470703125,170.5625,175.7900390625,96.40625,111.06884765625,82.28125,68.47314453125,85.8125,68.5283203125,75.21875,40.11279296875,43.4375,134.9599609375,54.03125,96.28173828125,61.09375,71.67333984375,103.46875,61.74169921875,128.1875,76.2529296875,128.1875,111.5654296875
34,Dean Henderson,/en/matches/b1b5e590/Sheffield-United-Aston-Villa-December-14-2019-Premier-League,Jack Grealish,Missed,1.0,106.3125,136.8017578125,83.8125,119.5751953125,55.6875,96.6357421875,72.5625,91.2744140625,89.4375,108.4130859375,97.875,136.669921875,58.5,93.8671875,81.0,63.28125,81.0,66.09375,83.8125,35.2001953125,38.8125,116.0595703125,38.8125,85.1220703125,66.9375,65.8740234375,92.25,60.64453125,106.3125,77.7392578125,117.5625,83.5400390625
35,Kasper Schmeichel,/en/matches/733c0243/Manchester-City-Leicester-City-December-21-2019-Premier-League,İlkay Gündoğan,Scored,,40.375,348.630859375,124.0625,279.1259765625,162.6875,208.9169921875,239.9375,229.4365234375,233.5,300.1484375,149.8125,369.6533203125,207.75,222.49609375,259.25,88.11328125,259.25,49.48828125,252.8125,4.3251953125,175.5625,196.2431640625,175.5625,131.8681640625,207.75,67.99609375,304.3125,95.2548828125,323.625,179.244140625,297.875,236.779296875
36,David de Gea,/en/matches/a58df282/Watford-Manchester-United-December-22-2019-Premier-League,Troy Deeney,Scored,,252.03125,682.53173828125,119.21875,547.64404296875,198.90625,455.92041015625,305.15625,444.29931640625,437.96875,619.03076171875,570.78125,767.19970703125,252.03125,443.46923828125,212.1875,230.3466796875,212.1875,163.9404296875,198.90625,30.92041015625,92.65625,507.38525390625,105.9375,361.4990234375,119.21875,228.89404296875,318.4375,218.7255859375,371.5625,352.3681640625,424.6875,446.1669921875
37,Paulo Gazzaniga,/en/matches/a1a20337/Tottenham-Hotspur-Chelsea-December-22-2019-Premier-League,Willian,Scored,,77.84375,137.68505859375,53.59375,106.99365234375,86.9375,86.2958984375,99.0625,80.4228515625,111.1875,126.0810546875,147.5625,150.8994140625,93.0,83.359375,68.75,49.63671875,53.59375,49.39990234375,29.34375,42.95849609375,68.75,95.10546875,68.75,79.94921875,56.625,49.447265625,53.59375,52.43115234375,86.9375,68.1083984375,80.875,37.701171875
38,Ben Foster,/en/matches/960ce979/Sheffield-United-Watford-December-26-2019-Premier-League,Oliver Norwood,Scored,,82.3125,103.3798828125,77.875,85.560546875,66.78125,74.29345703125,60.125,74.189453125,80.09375,83.37646484375,84.53125,101.19580078125,66.78125,74.29345703125,73.4375,43.3349609375,73.4375,43.3349609375,82.3125,25.7236328125,51.25,65.17578125,55.6875,49.7138671875,69.0,43.265625,77.875,43.404296875,62.34375,49.81787109375,66.78125,54.32470703125
39,Kasper Schmeichel,/en/matches/4b8063da/Leicester-City-Liverpool-December-26-2019-Premier-League,James Milner,Scored,,149.53125,216.43017578125,190.3125,176.2861328125,158.59375,121.41552734375,203.90625,131.18603515625,190.3125,176.2861328125,145.0,216.359375,176.71875,126.22998046875,194.84375,67.60693359375,194.84375,63.07568359375,244.6875,50.2607421875,140.46875,121.13232421875,167.65625,89.83837890625,167.65625,58.11962890625,222.03125,72.56298828125,235.625,104.494140625,244.6875,186.1982421875
40,Rui Patrício,/en/matches/6defd3a2/Wolverhampton-Wanderers-Manchester-City-December-27-2019-Premier-League,Raheem Sterling,Missed,,173.8125,155.6533203125,128.75,109.88671875,115.875,93.591796875,99.78125,99.77783203125,64.375,115.318359375,86.90625,147.85791015625,106.21875,93.44091796875,64.375,63.818359375,61.15625,57.33056640625,35.40625,50.49072265625,93.34375,70.70849609375,103.0,67.640625,74.03125,51.09423828125,54.71875,76.54248046875,70.8125,80.0126953125,74.03125,83.28173828125
41,Tom Heaton,/en/matches/36dc1eb8/Watford-Aston-Villa-December-28-2019-Premier-League,Troy Deeney,Scored,,77.34375,143.80224609375,61.875,112.623046875,99.0,91.546875,105.1875,85.4560546875,129.9375,122.9677734375,167.0625,151.3916015625,102.09375,91.59521484375,61.875,56.935546875,61.875,47.654296875,49.5,13.4296875,34.03125,90.53173828125,49.5,93.8671875,61.875,63.123046875,58.78125,63.07470703125,83.53125,82.02392578125,170.15625,148.34619140625
42,Tim Krul,/en/matches/a6e8ab71/Norwich-City-Tottenham-Hotspur-December-28-2019-Premier-League,Harry Kane,Scored,,112.875,471.482421875,33.28125,346.42626953125,104.03125,285.62548828125,201.3125,295.9892578125,280.90625,385.67041015625,245.53125,553.14892578125,157.09375,295.29833984375,148.25,127.12890625,148.25,118.28515625,157.09375,29.98583984375,77.5,311.7421875,68.65625,240.85400390625,68.65625,134.72900390625,219.0,128.234375,272.0625,182.1259765625,351.65625,245.27587890625
43,Łukasz Fabiański,/en/matches/1f2bd890/West-Ham-United-Leicester-City-December-28-2019-Premier-League,Demarai Gray,Missed,,45.71875,289.63623046875,92.125,202.705078125,143.6875,141.6357421875,195.25,152.75390625,159.15625,219.22119140625,86.96875,290.28076171875,169.46875,147.19482421875,174.625,80.244140625,174.625,85.400390625,159.15625,23.28369140625,81.8125,150.9814453125,107.59375,110.13427734375,133.375,69.287109375,210.71875,85.96435546875,257.125,117.626953125,236.5,163.7109375
44,Aaron Ramsdale,/en/matches/9ae01aab/West-Ham-United-Bournemouth-January-1-2020-Premier-League,Mark Noble,Scored,,299.5,355.8046875,70.0,243.84375,108.25,218.94140625,178.375,207.287109375,235.75,284.68359375,159.25,353.61328125,146.5,213.1640625,95.5,116.7421875,95.5,116.7421875,19.0,128.296875,38.125,249.720703125,38.125,192.345703125,44.5,122.3203125,165.625,105.087890625,172.0,130.6875,121.0,91.640625
45,Nick Pope,/en/matches/17a5a8ef/Chelsea-Burnley-January-11-2020-Premier-League,Jorginho,Scored,,52.28125,174.41064453125,55.8125,135.6220703125,55.8125,114.4345703125,73.46875,114.71044921875,98.1875,143.3466796875,91.125,182.080078125,66.40625,114.60009765625,69.9375,72.2802734375,73.46875,61.74169921875,87.59375,37.24365234375,31.09375,124.64208984375,38.15625,100.03369140625,52.28125,75.53564453125,84.0625,61.9072265625,87.59375,93.74365234375,91.125,125.580078125
