,goalkeepers,url,pen_taker,outcome,off_target
176,Alex McCarthy,/en/matches/9e4c8c99/Southampton-Chelsea-February-20-2021-Premier-League,Mason Mount,Scored,
177,Alisson,/en/matches/e4ac45fb/Merseyside-Derby-Liverpool-Everton-February-20-2021-Premier-League,Gylfi Sigurðsson,Scored,
178,Karl Darlow,/en/matches/401e0d48/Manchester-United-Newcastle-United-February-21-2021-Premier-League,Bruno Fernandes,Scored,
179,Sam Johnstone,/en/matches/ff18265a/West-Bromwich-Albion-Brighton-and-Hove-Albion-February-27-2021-Premier-League,Danny Welbeck,Missed,1
180,Sam Johnstone,/en/matches/ff18265a/West-Bromwich-Albion-Brighton-and-Hove-Albion-February-27-2021-Premier-League,Pascal Groß,Missed,1
181,Kasper Schmeichel,/en/matches/88b309f1/Leicester-City-Arsenal-February-28-2021-Premier-League,Alexandre Lacazette,Scored,
182,Aaron Ramsdale,/en/matches/9d08bb4e/Sheffield-United-Southampton-March-6-2021-Premier-League,James Ward-Prowse,Scored,
183,Ederson,/en/matches/28ebbc70/Manchester-Derby-Manchester-City-Manchester-United-March-7-2021-Premier-League,Bruno Fernandes,Scored,
184,Jordan Pickford,/en/matches/7e4a240e/Chelsea-Everton-March-8-2021-Premier-League,Jorginho,Scored,
185,Illan Meslier,/en/matches/c3b4d1ba/West-Ham-United-Leeds-United-March-8-2021-Premier-League,Jesse Lingard,Missed,
186,Ederson,/en/matches/ba04db4f/Manchester-City-Southampton-March-10-2021-Premier-League,James Ward-Prowse,Scored,
187,Sam Johnstone,/en/matches/29954372/Crystal-Palace-West-Bromwich-Albion-March-13-2021-Premier-League,Luka Milivojević,Scored,
188,Alphonse Areola,/en/matches/279b0eb5/Fulham-Manchester-City-March-13-2021-Premier-League,Sergio Agüero,Scored,
189,Hugo Lloris,/en/matches/127b8258/North-London-Derby-Arsenal-Tottenham-Hotspur-March-14-2021-Premier-League,Alexandre Lacazette,Scored,
190,Emiliano Martínez,/en/matches/faf3633c/Aston-Villa-Tottenham-Hotspur-March-21-2021-Premier-League,Harry Kane,Scored,
191,Fraser Forster,/en/matches/2c313b76/Southampton-Burnley-April-4-2021-Premier-League,Chris Wood,Scored,
192,Fraser Forster,/en/matches/3dee3681/West-Bromwich-Albion-Southampton-April-12-2021-Premier-League,Matheus Pereira,Scored,
193,Sam Johnstone,/en/matches/3dee3681/West-Bromwich-Albion-Southampton-April-12-2021-Premier-League,James Ward-Prowse,Missed,
194,Hugo Lloris,/en/matches/ebeb462d/Everton-Tottenham-Hotspur-April-16-2021-Premier-League,Gylfi Sigurðsson,Scored,
195,Martin Dúbravka,/en/matches/25a3b695/Newcastle-United-West-Ham-United-April-17-2021-Premier-League,Jesse Lingard,Scored,
196,Mathew Ryan,/en/matches/a19ff865/Arsenal-Fulham-April-18-2021-Premier-League,Josh Maja,Scored,
197,Alex McCarthy,/en/matches/81a7befa/Tottenham-Hotspur-Southampton-April-21-2021-Premier-League,Son Heung-min,Scored,
198,Sam Johnstone,/en/matches/2ab535fa/Aston-Villa-West-Bromwich-Albion-April-25-2021-Premier-League,Anwar El Ghazi,Scored,
199,Emiliano Martínez,/en/matches/2ab535fa/Aston-Villa-West-Bromwich-Albion-April-25-2021-Premier-League,Matheus Pereira,Scored,
200,Kasper Schmeichel,/en/matches/c0d4f879/Southampton-Leicester-City-April-30-2021-Premier-League,James Ward-Prowse,Scored,
201,Illan Meslier,/en/matches/1e2ba709/Brighton-and-Hove-Albion-Leeds-United-May-1-2021-Premier-League,Pascal Groß,Scored,
202,Łukasz Fabiański,/en/matches/a89e62a7/Burnley-West-Ham-United-May-3-2021-Premier-League,Chris Wood,Scored,
203,Edouard Mendy,/en/matches/b657d658/Manchester-City-Chelsea-May-8-2021-Premier-League,Sergio Agüero,Missed,
204,Emiliano Martínez,/en/matches/c80d17ca/Aston-Villa-Manchester-United-May-9-2021-Premier-League,Bruno Fernandes,Scored,
205,Fraser Forster,/en/matches/5e4ec091/Southampton-Crystal-Palace-May-11-2021-Premier-League,Luka Milivojević,Missed,
206,Scott Carson,/en/matches/27601c16/Newcastle-United-Manchester-City-May-14-2021-Premier-League,Joelinton,Scored,
