,duration,play_pattern_name,under_pressure,shot_outcome_name,shot_first_time,distance_to_goal,shot_angle,gk_name,gk_engage,assist_type,player_name
532,1.3776,From Counter,0,Off T,0,13.892443989449804,59.743562836470744,Alisson Ramsés Becker,0.7410956739365446,Pass,Alexandre Lacazette
533,0.717919,From Corner,0,Goal,1,6.324555320336759,18.43494882292201,Rui Pedro dos Santos Patrício,0.7905694150420948,Pass,Virgil van Dijk
534,0.948772,Regular Play,0,Goal,1,9.848857801796104,23.962488974578182,Jordan Pickford,0.8185982487053739,Cross,Harry Kane
535,1.046926,From Corner,1,Wayward,1,19.1049731745428,42.87890360333855,Jordan Pickford,0.827605888602368,Pass,Harry Kane
536,1.0913,From Goal Kick,1,Saved,1,21.095023109728988,58.57043438516149,Mathew Ryan,0.9204297970165649,Pass,Pierre-Emerick Aubameyang
537,0.7713,From Throw In,0,Goal,0,11.313708498984761,45.0,Mathew Ryan,1.0,Pass,Pierre-Emerick Aubameyang
538,0.5626,Regular Play,0,Saved,0,14.317821063276353,12.094757077012101,Mathew Ryan,0.8496771266264587,Pass,Pierre-Emerick Aubameyang
539,1.75567,From Throw In,0,Off T,0,21.95449840010015,30.068582821862453,Bernd Leno,0.4905750711307472,Pass,Solomon March
540,1.3401,From Goal Kick,0,Goal,1,13.45362404707371,41.987212495816664,Bernd Leno,0.3162277660168382,Pass,André Schürrle
541,0.803878,Other,0,Goal,0,9.848857801796104,23.962488974578182,Jordan Pickford,0.6176109608556767,Other,Paul Pogba
542,0.8447,From Counter,0,Saved,0,16.15549442140351,68.19859051364818,Jordan Pickford,0.7245027360606633,Pass,Marcus Rashford
543,0.3218,Regular Play,0,Saved,0,8.06225774829855,7.125016348901798,Jordan Pickford,0.3721042037676254,Pass,Anthony Martial
544,0.98073,From Keeper,0,Saved,0,21.840329667841555,74.05460409907715,Łukasz Fabiański,0.9439201899247569,Cross,Alireza Jahanbakhsh
545,0.4487,Regular Play,0,Saved,1,12.041594578792296,48.366460663429805,Bernd Leno,0.8827855599337736,Pass,Kevin De Bruyne
