,match_id,minute,team_id,team_name,player_id,player_name,shot_body_part_name,shot_technique_name,shot_outcome_name,date,home_team,away_team,season,competition,gk_id,gk_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
39,14372,76,29,Everton,3944,Gylfi Þór Sigurðsson,Right Foot,Normal,Goal,28/10/2018,Manchester United,Everton,2018/2019,Premier League,3333,David de Gea Quintana,137.03125,155.82861328125,26.125,102.908203125,71.625,92.244140625,88.6875,89.6669921875,105.75,126.90234375,139.875,155.873046875,77.3125,89.4892578125,43.1875,49.1435546875,37.5,46.2109375,17.59375,40.21240234375,40.34375,103.13037109375,57.40625,92.02197265625,34.65625,63.22900390625,60.25,46.56640625,80.15625,78.15869140625,83.0,100.953125
40,2166,62,36,Manchester City,3237,Sergio Leonel Agüero del Castillo,Right Foot,Normal,Goal,20/01/2018,Manchester City,Newcastle United,2017/2018,Premier League,3649,Karl Darlow,69.53125,220.78955078125,99.78125,191.01220703125,84.65625,122.71337890625,80.875,145.341796875,88.4375,190.8349609375,80.875,236.091796875,77.09375,126.37646484375,84.65625,77.33837890625,96.0,66.171875,141.375,17.724609375,122.46875,108.17919921875,114.90625,89.15478515625,103.5625,58.7275390625,84.65625,77.33837890625,84.65625,103.80712890625,92.21875,111.48779296875
41,14325,64,25,Southampton,3654,Daniel William John Ings,Right Foot,Normal,Goal,17/09/2018,Southampton,Brighton & Hove Albion,2018/2019,Premier League,3240,Mathew Ryan,39.09375,276.84521484375,48.28125,194.30126953125,66.65625,139.46337890625,117.1875,135.6591796875,149.34375,191.28662109375,172.3125,251.3642578125,89.625,139.822265625,94.21875,66.39404296875,94.21875,70.98779296875,98.8125,20.5283203125,34.5,161.9296875,39.09375,120.65771484375,57.46875,70.41357421875,130.96875,62.37451171875,153.9375,108.6708984375,176.90625,159.56103515625
42,14325,90,35,Brighton & Hove Albion,3085,Glenn Murray,Right Foot,Normal,Goal,17/09/2018,Southampton,Brighton & Hove Albion,2018/2019,Premier League,3619,Alex McCarthy,24.3125,145.7548828125,59.25,84.48828125,80.75,79.44921875,96.875,79.701171875,99.5625,98.5556640625,104.9375,128.2021484375,83.4375,76.8037109375,91.5,50.0546875,94.1875,44.7216796875,107.625,20.744140625,64.625,95.322265625,61.9375,57.6552734375,70.0,60.46875,99.5625,52.8681640625,99.5625,79.7431640625,94.1875,85.0341796875
43,14519,45,33,Chelsea,3621,Eden Hazard,Right Foot,Normal,Goal,02/02/2019,Chelsea,Huddersfield Town,2018/2019,Premier League,3322,Jonas Lössl,28.25,198.19140625,95.34375,160.39599609375,116.53125,111.28955078125,137.71875,122.21435546875,148.3125,154.1611328125,155.375,182.521484375,127.125,114.986328125,123.59375,69.02490234375,123.59375,61.96240234375,120.0625,23.0634765625,116.53125,65.38330078125,88.28125,68.47314453125,105.9375,65.2177734375,137.71875,65.71435546875,84.75,71.94921875,84.75,71.94921875
44,2356,90,29,Everton,3518,Leighton Baines,Left Foot,Normal,Goal,05/11/2017,Everton,Watford,2017/2018,Premier League,3522,Heurelho da Silva Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2356,100,23,Watford,3683,Tom Cleverley,Right Foot,Normal,Off T,05/11/2017,Everton,Watford,2017/2018,Premier League,3468,Jordan Pickford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2213,42,28,AFC Bournemouth,3346,Joshua King,Right Foot,Normal,Goal,31/03/2018,Watford,AFC Bournemouth,2017/2018,Premier League,3742,Orestis Karnezis,13.875,101.748046875,26.8125,84.7001953125,41.90625,65.52978515625,54.84375,74.35693359375,37.59375,99.96240234375,24.65625,114.85400390625,48.375,69.943359375,54.84375,39.85693359375,54.84375,37.70068359375,50.53125,13.91455078125,22.5,52.2890625,33.28125,37.36376953125,39.75,37.46484375,69.9375,44.4052734375,91.5,53.3671875,97.96875,64.24951171875
47,14457,47,24,Liverpool,3531,Mohamed Salah,Left Foot,Normal,Goal,26/12/2018,Liverpool,Newcastle United,2018/2019,Premier League,3711,Martin Dúbravka,47.46875,311.02294921875,52.8125,214.9189453125,106.25,151.62890625,159.6875,147.1201171875,202.4375,243.9755859375,239.84375,271.27880859375,132.96875,146.70263671875,84.875,71.138671875,79.53125,60.36767578125,68.84375,1.41943359375,20.75,171.66796875,31.4375,134.4287109375,36.78125,75.73095703125,122.28125,66.37939453125,191.75,131.58984375,213.125,190.705078125
48,14416,23,35,Brighton & Hove Albion,3085,Glenn Murray,Right Foot,Normal,Goal,04/12/2018,Brighton & Hove Albion,Crystal Palace,2018/2019,Premier League,3488,Wayne Hennessey,38.0625,137.0634765625,32.5,98.0390625,85.34375,90.52099609375,79.78125,90.43408203125,93.6875,121.2451171875,124.28125,146.75439453125,79.78125,90.43408203125,43.625,92.650390625,40.84375,95.38818359375,18.59375,103.38427734375,88.125,82.220703125,57.53125,90.08642578125,32.5,95.2578125,40.84375,92.60693359375,49.1875,84.3935546875,90.90625,87.82666015625
