,player_name,shot_outcome_name,gk_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
34,Roberto Firmino Barbosa de Oliveira,Goal,Bernd Leno,-0.421875,0.21875,0.033602677,0.25,-0.015625,0.146230519,0.046875,0.015625,-0.018817352,-0.046875,-0.046875,0.026363356,-0.203125,0.125,0.230307803,-0.40625,0.203125,0.04157497,0,0,0,0.15625,-0.171875,0.029871274,0.171875,-0.171875,0.05330025,0.21875,-0.296875,0.00483221,0.359375,0.09375,-0.008224099,0.265625,-0.03125,0.085532814,0.25,-0.15625,0.015902892,0.0625,-0.1875,0.063419864,-0.046875,-0.125,0.091095224,-0.140625,-0.03125,0.113489658
35,Luka Milivojević,Goal,Mathew Ryan,0.3125,0.296875,-0.008463873,0.1875,0.078125,0.149269179,-0.0625,0,-0.063589737,0.09375,0,0.035875455,0.234375,0.109375,0.117204823,0.28125,0.296875,0.048754238,0,0,0,0.171875,-0.21875,-0.03036356,0.171875,-0.21875,-0.082150571,0.25,-0.390625,-0.06154108,-0.046875,0,-0.022319272,-0.015625,-0.09375,-0.076765254,0.078125,-0.25,-0.054783903,0.265625,-0.1875,-0.067380719,0.3125,-0.046875,-0.002205122,0.359375,0.046875,-0.030840781
36,Paul Pogba,Goal,Kasper Schmeichel,-0.078125,0.09375,0.357131273,-0.1875,0.078125,0.082779042,-0.046875,-0.03125,-0.015734456,0.0625,0.03125,0.008736051,0.15625,0.15625,0.136711463,-0.03125,0.28125,0.013692466,0,0,0,0.171875,-0.171875,-0.059370477,0.1875,-0.171875,-0.155488148,-0.390625,-0.046875,-0.171755448,-0.40625,0.21875,0.038396485,-0.28125,0.15625,-0.024058843,0.0625,-0.1875,-0.125795007,0.28125,-0.15625,-0.103781357,0.328125,-0.015625,-0.028370982,-0.484375,0.234375,-0.078148246
37,Paul Pogba,Saved,Angus Gunn,0.0625,0.359375,-0.060320061,-0.15625,0.21875,0.145853415,-0.0625,0.015625,-0.014470737,0.0625,0,0.011430054,0.25,0.234375,0.16960761,0.4375,0.4375,-0.000111202,0,0,0,0.015625,-0.203125,-0.021857481,0.015625,-0.1875,-0.036652084,0.03125,-0.328125,-0.09465266,-0.28125,-0.03125,-0.068241641,-0.21875,-0.140625,-0.046105709,-0.0625,-0.1875,-0.034503218,0.078125,-0.21875,-0.019973779,0.1875,-0.15625,0.054779295,0.171875,-0.125,-0.021291919
38,Paul Pogba,Saved,Jordan Pickford,0.09375,0.34375,0.076013863,-0.09375,0.1875,0.18775025,-0.03125,0.0625,-0.017533533,0.046875,-0.03125,-0.02256152,0.21875,0.125,0.254787266,0.40625,0.28125,0.083260454,0,0,0,-0.125,-0.03125,0.001263205,-0.125,-0.03125,-0.029849414,-0.0625,0.125,-0.216504082,-0.046875,0.046875,-0.015617792,-0.140625,0.125,-0.05804427,-0.1875,-0.03125,0.030982446,-0.078125,-0.09375,-0.01418166,-0.03125,-0.125,-0.07180658,-0.0625,0.03125,-0.073397323
39,Gylfi Þór Sigurðsson,Goal,David de Gea Quintana,0.328125,0.359375,-0.00912777,-0.28125,0.078125,0.129197031,-0.03125,0.015625,-0.001144804,0.0625,0,-0.023528866,0.15625,0.203125,0.048811506,0.34375,0.359375,-0.049141996,0,0,0,-0.1875,-0.21875,-0.01518633,-0.21875,-0.234375,-0.068956897,-0.328125,-0.265625,-0.125613481,-0.203125,0.078125,0.175236315,-0.109375,0.015625,0.08721976,-0.234375,-0.140625,-0.036923658,-0.09375,-0.234375,-0.138020962,0.015625,-0.0625,-0.041594867,0.03125,0.0625,-0.125550091
40,Sergio Leonel Agüero del Castillo,Goal,Karl Darlow,-0.03125,0.390625,0.008575849,0.09375,0.265625,0.253699541,0.03125,-0.015625,-0.060701475,0.015625,0.078125,0.013358615,0.046875,0.265625,0.322346777,0.015625,0.453125,0.043473583,0,0,0,0.03125,-0.203125,-0.011098236,0.078125,-0.25,0.026295852,0.265625,-0.453125,-0.060460694,0.1875,-0.078125,0.115937099,0.15625,-0.15625,-0.074026085,0.109375,-0.28125,0.046228237,0.03125,-0.203125,0.015866285,0.03125,-0.09375,0.201447889,0.0625,-0.0625,0.218131378
41,Daniel William John Ings,Goal,Mathew Ryan,-0.171875,0.46875,-0.051798522,-0.140625,0.1875,0.154999748,-0.078125,0,-0.012870953,0.09375,-0.015625,0.004014726,0.203125,0.171875,0.000718334,0.28125,0.375,-0.017803935,0,0,0,0.015625,-0.25,-0.034038585,0.015625,-0.234375,-0.119328409,0.03125,-0.40625,-0.084370203,-0.1875,0.078125,-0.186383665,-0.171875,-0.0625,-0.032673683,-0.109375,-0.234375,-0.094012909,0.140625,-0.265625,-0.089058742,0.21875,-0.109375,-0.023676243,0.296875,0.0625,-0.003389568
42,Glenn Murray,Goal,Alex McCarthy,-0.34375,0.40625,-0.032076858,-0.140625,0.046875,0.053693086,-0.015625,0.015625,0.002831803,0.078125,0.015625,-0.011432528,0.09375,0.125,0.091074295,0.125,0.296875,0.152550608,0,0,0,0.046875,-0.15625,-0.028505452,0.0625,-0.1875,-0.058828063,0.140625,-0.328125,-0.087872677,-0.109375,0.109375,-0.04846764,-0.125,-0.109375,-0.049845714,-0.078125,-0.09375,-0.060898483,0.09375,-0.140625,-0.067863241,0.09375,0.015625,-0.057879388,0.0625,0.046875,-0.187726274
43,Eden Hazard,Goal,Jonas Lössl,-0.4375,0.375,0.057056338,-0.140625,0.203125,0.302298069,-0.046875,-0.015625,0.016357346,0.046875,0.03125,-0.009203343,0.09375,0.171875,0.319020212,0.125,0.296875,0.090568483,0,0,0,-0.015625,-0.203125,0.004004645,-0.015625,-0.234375,-0.023843603,-0.03125,-0.40625,-0.048060089,-0.046875,-0.21875,-0.070742704,-0.171875,-0.203125,-0.029269343,-0.09375,-0.21875,-0.026678225,0.046875,-0.21875,-0.046733625,-0.1875,-0.1875,-0.021357834,-0.1875,-0.1875,-0.041113861
